companyID,companyName,companyStreet,companyPLZ,companyTown,companyBranche,companyEmail,companyPhone,companyTradingID,companyCourt
78952,RABO Fliesengroßhandels GmbH,Haribostraße 1,55127,Gummistadt,Fliesenherstellung,info@rabo.de,08721-657821,HRB 217566,Gummistadt
85421,Autohaus Autopia,Amselstraße 91,78542,Reisetadt,Autohaus; Autohandel,info@autopia.de,06587-85423,HRB 56821,Reisestadt
25412,BrauBier GmbH,Froschgasse 78,58912,Bierstadt,Brauerei,info@braubier.de,05213-85472,HRB 12546,Bierstadt
98572,Bilderfreak GmbH,Bahnhofstraße 22,45213,Sonnenstadt,Grosshandel Bilderrahmen,info@bilderfreak.de,09542-872139,HRB 78956,Sonnenstadt
33333,Mediengeist GmbH,Lange Straße 45,85423,Hafenstadt,TV Sender,info@mediengeist.de,06821-581236,HRB 58742,Hafenstadt
85712,Stadt Mustermann ,Musterstaße 85,42121,Musterstadt,Stadtverwaltung,info@stadt-mustermann.de,02143-985321,HRB 89521,Musterstadt
52648,Sparkasse Heaven,Europlatz,84512,Rheinstadt,Sparkasse,info@sparkasse-heaven.de,08745-54123,HRB 45127,Rheinstadt
65892,Isolation GmbH,Rabenstraße 12,45872,Rabenstadt,Herstelung von Dämmung,info@Isolation.de,06842-85412,HRB 85423,Rabenstadt
85421,Bicyle GmbH,Berliner Staße 26,65214,Schönenstadt,Verkauf von Fahrrädern & E-Bikies,info@bicyle.de,03217-74512,HRB 45127,Schönenstadt
78542,Mehrwohnen GmbH,Hamburger Straße 33,58721,Schönheim,"Alten-, Wohn- und Pflegeheim",info@mehrwohnen.de,08745-657412,HRB 85412,Schönheim
